City,"Member
state","Official
population",Date,Ref
Berlin,Germany,"3,755,251",31 Dec 2022,
Madrid,Spain,"3,332,035",1 Jan 2023,
Rome,Italy,"2,754,719",1 Jan 2024,
Paris,France,"2,087,577",1 Jan 2024,
Vienna,Austria,"2,006,134",1 Jan 2024,
Hamburg,Germany,"1,892,122",31 Dec 2022,
Warsaw,Poland,"1,861,599",31 Dec 2023,
Bucharest,Romania,"1,725,271",1 Jan 2023,
Budapest,Hungary,"1,686,222",1 Jan 2024,
Barcelona,Spain,"1,660,122",1 Jan 2023,
Munich,Germany,"1,512,491",31 Dec 2022,
Prague,Czech Republic,"1,384,732",1 Jan 2024,
Milan,Italy,"1,371,850",1 Jan 2024,
Sofia,Bulgaria,"1,286,965",31 Dec 2023,
Cologne,Germany,"1,084,831",31 Dec 2022,
Stockholm,Sweden,"988,943",31 Dec 2023,
Amsterdam,Netherlands,"936,923",31 Mar 2024,
Naples,Italy,"911,697",1 Jan 2024,
Marseille,France,"873,076",1 Jan 2021,
Turin,Italy,"846,926",1 Jan 2024,
Valencia,Spain,"807,693",1 Jan 2023,
Kraków,Poland,"806,201",31 Dec 2023,
Frankfurt,Germany,"773,068",31 Dec 2022,
Zagreb,Croatia,"768,624",31 Dec 2022,
Seville,Spain,"684,025",1 Jan 2023,
Zaragoza,Spain,"682,513",1 Jan 2023,
Helsinki,Finland,"675,747",1 Feb 2024,
Wrocław,Poland,"673,743",31 Dec 2023,
Rotterdam,Netherlands,"671,904",31 Mar 2024,
Copenhagen,Denmark,"659,350",1 Jan 2024,
Łódź,Poland,"652,015",31 Dec 2023,
Athens,Greece,"643,452",23 Oct 2021,
Stuttgart,Germany,"632,865",31 Dec 2022,
Düsseldorf,Germany,"629,047",31 Dec 2022,
Palermo,Italy,"628,894",1 Jan 2024,
Leipzig,Germany,"616,093",31 Dec 2022,
Riga,Latvia,"605,273",1 Jan 2024,
Vilnius,Lithuania,"605,270",1 Jul 2024,
Gothenburg,Sweden,"604,616",31 Dec 2023,
Dortmund,Germany,"593,317",31 Dec 2022,
Dublin,Ireland,"592,713",3 Apr 2022,
Málaga,Spain,"586,384",1 Jan 2023,
Essen,Germany,"584,580",31 Dec 2022,
Bremen,Germany,"569,396",31 Dec 2022,
Lisbon,Portugal,"567,131",31 Dec 2023,
The Hague,Netherlands,"566,280",31 Mar 2024,
Dresden,Germany,"563,311",31 Dec 2022,
Genoa,Italy,"561,947",1 Jan 2024,
Antwerp,Belgium,"549,578",1 Mar 2024,
Hanover,Germany,"545,045",31 Dec 2022,
Poznań,Poland,"538,439",31 Dec 2023,
Nuremberg,Germany,"523,026",31 Dec 2022,
Lyon,France,"522,250",1 Jan 2021,
Toulouse,France,"504,078",1 Jan 2021,
Duisburg,Germany,"502,211",31 Dec 2022,
Gdańsk,Poland,"487,371",31 Dec 2023,
Bratislava,Slovakia,"478,107",1 Feb 2024,
Murcia,Spain,"469,177",1 Jan 2023,
Tallinn,Estonia,"457,572",1 Jan 2024,
Palma de Mallorca,Spain,"423,350",1 Jan 2023,
Brno,Czech Republic,"400,566",1 Jan 2024,
Sintra,Portugal,"395,528",31 Dec 2023,
Bologna,Italy,"390,518",1 Jan 2024,
Szczecin,Poland,"389,066",31 Dec 2023,
Las Palmas,Spain,"378,027",1 Jan 2023,
Utrecht,Netherlands,"375,167",31 Mar 2024,
Aarhus,Denmark,"367,095",1 Jan 2024,
Bochum,Germany,"365,742",31 Dec 2022,
Florence,Italy,"363,837",1 Jan 2024,
Malmö,Sweden,"362,133",31 Dec 2023,
Wuppertal,Germany,"358,876",31 Dec 2022,
Alicante,Spain,"349,282",1 Jan 2023,
Nice,France,"348,085",1 Jan 2021,
Bilbao,Spain,"346,096",1 Jan 2023,
Bielefeld,Germany,"338,332",31 Dec 2022,
Bonn,Germany,"336,465",31 Dec 2022,
Lublin,Poland,"329,565",31 Dec 2023,
Bydgoszcz,Poland,"326,434",31 Dec 2023,
Plovdiv,Bulgaria,"325,485",31 Dec 2023,
Córdoba,Spain,"323,763",1 Jan 2023,
Varna,Bulgaria,"323,386",31 Dec 2023,
Nantes,France,"323,204",1 Jan 2021,
Münster,Germany,"320,946",31 Dec 2022,
Thessaloniki,Greece,"319,045",23 Oct 2021,
Bari,Italy,"316,212",1 Jan 2024,
Mannheim,Germany,"315,554",31 Dec 2022,
Espoo,Finland,"314,821",1 Feb 2024,
Vila Nova de Gaia,Portugal,"311,223",31 Dec 2023,
Karlsruhe,Germany,"308,707",31 Dec 2022,
Kaunas,Lithuania,"304,198",1 Jan 2024,
Graz,Austria,"303,270",1 Jan 2024,
Montpellier,France,"302,454",1 Jan 2021,
Augsburg,Germany,"301,033",31 Dec 2022,
